START BATCH CODE;START EVENT MONTH;START EVENT CALENDAR WEEK;END BATCH CODE;MATERIAL;END TIME;END EVENT MONTH;END EVENT CALENDAR WEEK;YEAR WEEK;CYCLE TIME;TARGET CYCLE TIME
S0229;9;38;E0229;PRODUCT C;2022-12-13;12;50;2022 - W50;87;100
S0230;6;25;E0230;PRODUCT C;2022-12-13;12;50;2022 - W50;182;100
S0231;9;39;E0231;PRODUCT M;2022-12-16;12;50;2022 - W50;87;100
S0232;10;42;E0232;PRODUCT M;2022-12-08;12;49;2022 - W49;56;100
S0233;10;42;E0233;PRODUCT M;2022-12-09;12;49;2022 - W49;56;100
S0234;10;43;E0234;PRODUCT M;2022-12-09;12;49;2022 - W49;51;100
S0235;10;43;E0235;PRODUCT M;2022-12-09;12;49;2022 - W49;51;100
S0236;9;36;E0236;PRODUCT M;2022-12-09;12;49;2022 - W49;96;100
S0237;10;42;E0237;PRODUCT M;2022-12-09;12;49;2022 - W49;56;100
S0238;9;38;E0238;PRODUCT C;2022-12-13;12;50;2022 - W50;87;100
S0239;11;48;E0239;PRODUCT O;2022-12-09;12;49;2022 - W49;382;100
S0240;10;43;E0240;PRODUCT M;2022-12-09;12;49;2022 - W49;51;100
S0241;10;43;E0241;PRODUCT M;2022-12-08;12;49;2022 - W49;50;100
S0242;10;43;E0242;PRODUCT M;2022-12-08;12;49;2022 - W49;50;100
S0243;6;24;E0243;PRODUCT N;2022-12-12;12;50;2022 - W50;184;100
S0244;6;24;E0244;PRODUCT M;2022-12-13;12;50;2022 - W50;189;100
S0245;7;31;E0245;PRODUCT F;2022-12-13;12;50;2022 - W50;137;100
S0246;8;33;E0246;PRODUCT F;2022-12-12;12;50;2022 - W50;122;100
S0247;10;44;E0247;PRODUCT M;2022-12-13;12;50;2022 - W50;50;100
S0248;10;44;E0248;PRODUCT M;2022-12-13;12;50;2022 - W50;50;100
S0249;10;44;E0249;PRODUCT M;2022-12-13;12;50;2022 - W50;50;100
S0250;10;44;E0250;PRODUCT M;2022-12-15;12;50;2022 - W50;52;100
S0251;11;46;E0251;PRODUCT T;2022-12-14;12;50;2022 - W50;395;100
S0252;8;33;E0252;PRODUCT F;2022-12-14;12;50;2022 - W50;124;100
S0253;3;10;E0253;PRODUCT F;2022-12-14;12;50;2022 - W50;649;100
S0254;9;38;E0254;PRODUCT C;2022-12-16;12;50;2022 - W50;90;100
S0255;4;16;E0255;PRODUCT T;2022-12-22;12;51;2022 - W51;619;100
S0256;4;16;E0256;PRODUCT T;2022-12-22;12;51;2022 - W51;614;100
S0257;4;17;E0257;PRODUCT T;2022-12-22;12;51;2022 - W51;609;100
S0258;12;50;E0258;PRODUCT T;2023-01-10;1;2;2023 - W2;400;100
S0259;9;40;E0259;PRODUCT M;2022-12-15;12;50;2022 - W50;81;100
S0260;10;44;E0260;PRODUCT M;2022-12-14;12;50;2022 - W50;51;100
S0261;10;43;E0261;PRODUCT M;2022-12-15;12;50;2022 - W50;57;100
S0262;9;38;E0262;PRODUCT C;2022-12-19;12;51;2022 - W51;93;100
S0263;7;28;E0263;PRODUCT C;2022-12-19;12;51;2022 - W51;167;100
S0264;9;37;E0264;PRODUCT T;2022-12-19;12;51;2022 - W51;102;100
S0265;9;38;E0265;PRODUCT C;2022-12-15;12;50;2022 - W50;89;100
S0266;10;43;E0266;PRODUCT M;2022-12-15;12;50;2022 - W50;57;100
S0267;5;20;E0267;PRODUCT N;2022-12-20;12;51;2022 - W51;224;100
S0268;12;50;E0268;PRODUCT T;2022-12-20;12;51;2022 - W51;379;100
S0269;10;40;E0269;PRODUCT M;2022-12-15;12;50;2022 - W50;74;100
S0270;10;40;E0270;PRODUCT M;2022-12-15;12;50;2022 - W50;74;100
S0271;10;40;E0271;PRODUCT M;2022-12-15;12;50;2022 - W50;74;100
S0272;10;43;E0272;PRODUCT M;2022-12-16;12;50;2022 - W50;58;100
S0273;6;25;E0273;PRODUCT T;2023-01-05;1;1;2023 - W1;565;100
S0274;6;23;E0274;PRODUCT T;2022-12-20;12;51;2022 - W51;199;100
S0275;12;50;E0275;PRODUCT T;2023-01-11;1;2;2023 - W2;401;100
S0276;11;49;E0276;PRODUCT T;2023-01-05;1;1;2023 - W1;402;100
S0277;11;48;E0277;PRODUCT O;2022-12-23;12;51;2022 - W51;396;100
S0278;3;10;E0278;PRODUCT F;2022-12-19;12;51;2022 - W51;654;100
S0279;12;50;E0279;PRODUCT T;2022-12-23;12;51;2022 - W51;382;100
S0280;9;37;E0280;PRODUCT T;2022-12-21;12;51;2022 - W51;104;100
S0281;2;6;E0281;PRODUCT T;2023-01-05;1;1;2023 - W1;338;100
S0282;8;32;E0282;PRODUCT T;2023-01-25;1;4;2023 - W4;174;100
S0283;4;17;E0283;PRODUCT T;2023-01-03;1;1;2023 - W1;260;100
S0284;9;37;E0284;PRODUCT T;2023-01-05;1;1;2023 - W1;119;100
S0285;6;24;E0285;PRODUCT N;2023-01-03;1;1;2023 - W1;206;100
S0286;10;40;E0286;PRODUCT M;2023-01-03;1;1;2023 - W1;93;100
S0287;7;29;E0287;PRODUCT T;2023-01-03;1;1;2023 - W1;174;100
S0288;9;38;E0288;PRODUCT C;2023-01-06;1;1;2023 - W1;113;100
S0289;10;41;E0289;PRODUCT TH;2023-01-05;1;1;2023 - W1;89;100
S0290;10;41;E0290;PRODUCT TH;2023-01-05;1;1;2023 - W1;89;100
S0291;6;26;E0291;PRODUCT C;2023-01-10;1;2;2023 - W2;204;100
S0292;10;44;E0292;PRODUCT M;2023-01-09;1;2;2023 - W2;71;100
S0293;4;17;E0293;PRODUCT C;2023-01-06;1;1;2023 - W1;261;100
S0294;8;33;E0294;PRODUCT F;2023-01-09;1;2;2023 - W2;150;100
S0295;1;3;E0295;PRODUCT C;2023-01-10;1;2;2023 - W2;365;100
S0296;5;22;E0296;PRODUCT C;2023-01-10;1;2;2023 - W2;229;100
S0297;8;32;E0297;PRODUCT T;2023-01-09;1;2;2023 - W2;158;100
S0298;11;49;E0298;PRODUCT T;2023-01-11;1;2;2023 - W2;408;100
S0299;8;32;E0299;PRODUCT T;2023-01-09;1;2;2023 - W2;158;100
S0300;12;51;E0300;PRODUCT T;2023-01-11;1;2;2023 - W2;388;100
